page,page_title,line_item,col_1,col_2,col_3,col_4,col_5,col_6
8,Business Wireline,Legacy and other transitional services,"$ 2,349","$ 2,839",(17.3) %,"$ 4,824","$ 5,836",(17.3) %
8,Business Wireline,Fiber and advanced connectivity services,"1,793","1,732",3.5 %,"3,573","3,435",4.0 %
8,Business Wireline,Equipment,171,184,(7.1) %,384,397,(3.3) %
8,Business Wireline,Total Operating Revenues,"4,313","4,755",(9.3) %,"8,781","9,668",(9.2) %
8,Business Wireline,Operations and support,"2,993","3,267",(8.4) %,"6,061","6,754",(10.3) %
8,Business Wireline,Depreciation and amortization,"1,521","1,386",9.7 %,"3,019","2,748",9.9 %
8,Business Wireline,Total Operating Expenses,"4,514","4,653",(3.0) %,"9,080","9,502",(4.4) %
8,Business Wireline,Operating Income (Loss),$ (201),$ 102,%,$ (299),$ 166,%
