page,page_title,line_item,col_1,col_2,col_3,col_4
11,SUPPLEMENTAL SEGMENT RECONCILIATION,June,"30,",2025,,
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Mobility,"$ 21,845","$ 12,358","$ 2,556","$ 6,931"
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Business Wireline,"4,313","2,993","1,521",(201)
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Consumer Wireline,"3,541","2,248",958,335
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Total Communications,"29,699","17,599","5,035","7,065"
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Latin America,"1,054",853,155,46
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Segment Total,"30,753","18,452","5,190","7,111"
11,SUPPLEMENTAL SEGMENT RECONCILIATION,DTV-related retained costs,,57,50,(107)
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Parent administration support,(2),422,2,(426)
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Securitization fees,30,174,,(144)
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Value portfolio,66,11,,55
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Total Corporate,94,664,52,(622)
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Certain significant items,,(21),9,12
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Total Corporate and Other,94,643,61,(610)
11,SUPPLEMENTAL SEGMENT RECONCILIATION,AT&T Inc.,"$ 30,847","$ 19,095","$ 5,251","$ 6,501"
11,SUPPLEMENTAL SEGMENT RECONCILIATION,June,"30,",2024,,
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Mobility,"$ 20,480","$ 11,285","$ 2,476","$ 6,719"
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Business Wireline,"4,755","3,267","1,386",102
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Consumer Wireline,"3,347","2,249",914,184
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Total Communications,"28,582","16,801","4,776","7,005"
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Latin America,"1,103",925,172,6
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Segment Total,"29,685","17,726","4,948","7,011"
11,SUPPLEMENTAL SEGMENT RECONCILIATION,DTV-related retained costs,,116,102,(218)
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Parent administration support,,443,2,(445)
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Securitization fees,29,150,,(121)
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Value portfolio,83,25,5,53
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Total Corporate,112,734,109,(731)
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Certain significant items,,505,15,(520)
11,SUPPLEMENTAL SEGMENT RECONCILIATION,Total Corporate and Other,112,"1,239",124,"(1,251)"
11,SUPPLEMENTAL SEGMENT RECONCILIATION,AT&T Inc.,"$ 29,797","$ 18,965","$ 5,072","$ 5,760"
