page,page_title,line_item,col_1,col_2,col_3,col_4,col_5,col_6
6,COMMUNICATIONS SEGMENT,Mobility,"$ 21,845","$ 20,480",6.7 %,"$ 43,415","$ 41,074",5.7 %
6,COMMUNICATIONS SEGMENT,Business Wireline,"4,313","4,755",(9.3) %,"8,781","9,668",(9.2) %
6,COMMUNICATIONS SEGMENT,Consumer Wireline,"3,541","3,347",5.8 %,"7,063","6,697",5.5 %
6,COMMUNICATIONS SEGMENT,Total Segment Operating Revenues,"29,699","28,582",3.9 %,"59,259","57,439",3.2 %
6,COMMUNICATIONS SEGMENT,Mobility,"6,931","6,719",3.2 %,"13,671","13,187",3.7 %
6,COMMUNICATIONS SEGMENT,Business Wireline,(201),102,%,(299),166,%
6,COMMUNICATIONS SEGMENT,Consumer Wireline,335,184,82.1 %,684,397,72.3 %
6,COMMUNICATIONS SEGMENT,Total Segment Operating Income,"$ 7,065","$ 7,005",0.9 %,"$ 14,056","$ 13,750",2.2 %
